epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9188,2.10788,4.29521,2.19232,0.81854,0.11602,0.43545,0.17472,1.86172,3.04886,2.23213,0.000546984,0.000546984,0.000546984
2,29.0106,1.80753,3.24603,1.92307,0.7075,0.45856,0.5323,0.23226,2.04884,2.73772,2.35519,0.00106626,0.00106626,0.00106626
3,41.8176,1.81531,2.84724,1.90682,0.65848,0.46409,0.52329,0.25693,1.77827,2.82464,2.07798,0.00154887,0.00154887,0.00154887
