epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7584,2.15387,4.24483,2.19951,0.09369,0.60256,0.31797,0.14274,1.72016,3.23786,2.14771,0.000545564,0.000545564,0.000545564
2,26.4415,1.82676,3.09116,1.92656,0.51151,0.42949,0.43536,0.21742,1.75214,2.96502,2.09789,0.00106489,0.00106489,0.00106489
3,37.8403,1.79033,2.71304,1.90447,0.25468,0.41026,0.21726,0.08476,1.92566,9.47979,2.20781,0.00154754,0.00154754,0.00154754
4,49.1853,1.77806,2.46612,1.86822,0.59158,0.59425,0.61628,0.28658,1.75732,4.06606,2.0183,0.00150197,0.00150197,0.00150197
5,60.7306,1.69798,2.20227,1.75695,0.646,0.57321,0.60426,0.29543,1.67171,2.70812,2.03734,0.00144696,0.00144696,0.00144696
6,72.3987,1.64993,2.02117,1.72694,0.77911,0.64744,0.72983,0.3758,1.5765,2.28953,1.88501,0.00139195,0.00139195,0.00139195
7,83.8783,1.67195,2.00517,1.72718,0.81033,0.69872,0.79074,0.4045,1.45834,1.97965,1.78055,0.00133693,0.00133693,0.00133693
8,95.311,1.63671,1.87284,1.71221,0.81639,0.65557,0.75728,0.39901,1.64306,1.72413,1.93338,0.00128192,0.00128192,0.00128192
9,106.413,1.58904,1.79638,1.68283,0.83944,0.67028,0.7515,0.42303,1.4968,1.52141,1.85269,0.00122691,0.00122691,0.00122691
10,118.41,1.5787,1.60699,1.64465,0.78129,0.71795,0.77807,0.40535,1.55892,1.48518,1.85826,0.0011719,0.0011719,0.0011719
11,129.455,1.52391,1.53702,1.59385,0.87065,0.73077,0.8166,0.43931,1.50186,1.40861,1.80097,0.00111689,0.00111689,0.00111689
12,140.443,1.53182,1.4809,1.62514,0.86258,0.72428,0.80973,0.46147,1.44974,1.48325,1.74467,0.00106188,0.00106188,0.00106188
13,151.719,1.45582,1.40967,1.5853,0.89142,0.76923,0.85471,0.49201,1.38675,1.33614,1.67873,0.00100687,0.00100687,0.00100687
14,162.891,1.44865,1.36242,1.57042,0.87878,0.79002,0.85374,0.4879,1.39583,1.19938,1.68112,0.000951857,0.000951857,0.000951857
15,174.089,1.4321,1.3388,1.54034,0.87342,0.79615,0.84571,0.49296,1.3861,1.23706,1.68911,0.000896846,0.000896846,0.000896846
16,185.255,1.38097,1.26338,1.52878,0.88714,0.80623,0.86762,0.51321,1.4429,1.25111,1.76121,0.000841835,0.000841835,0.000841835
17,196.625,1.42967,1.25819,1.56007,0.87106,0.82692,0.85248,0.50737,1.35485,1.18569,1.61803,0.000786824,0.000786824,0.000786824
18,207.703,1.3503,1.21187,1.46054,0.82165,0.80769,0.83216,0.47652,1.42274,1.20756,1.68785,0.000731813,0.000731813,0.000731813
19,218.812,1.37645,1.1878,1.49687,0.92218,0.77564,0.87741,0.52282,1.34208,1.16271,1.64906,0.000676802,0.000676802,0.000676802
20,229.88,1.33423,1.124,1.45946,0.90417,0.82051,0.88455,0.54178,1.29653,1.09315,1.58634,0.000621791,0.000621791,0.000621791
21,267.06,1.29081,1.15892,1.46075,0.9292,0.8141,0.86942,0.52212,1.3118,1.03073,1.65504,0.00056678,0.00056678,0.00056678
22,278.022,1.27069,1.08915,1.44744,0.91476,0.82556,0.89646,0.52673,1.37327,1.04006,1.65359,0.000511769,0.000511769,0.000511769
23,289.033,1.26239,1.04124,1.44889,0.91958,0.80128,0.87559,0.53522,1.26289,0.9717,1.56671,0.000456758,0.000456758,0.000456758
24,299.841,1.22873,1.01876,1.42599,0.90203,0.82631,0.87481,0.5247,1.31384,0.95908,1.59578,0.000401747,0.000401747,0.000401747
25,310.612,1.21778,0.97581,1.41484,0.92796,0.83333,0.89942,0.5658,1.25158,0.93387,1.54823,0.000346736,0.000346736,0.000346736
26,321.466,1.19443,0.95068,1.38112,0.92351,0.85139,0.89825,0.56226,1.25788,0.90762,1.54868,0.000291725,0.000291725,0.000291725
27,332.235,1.15015,0.93738,1.37824,0.90168,0.87179,0.90684,0.55894,1.21606,0.8969,1.52885,0.000236714,0.000236714,0.000236714
28,343.596,1.12197,0.89308,1.35287,0.88858,0.86906,0.90012,0.57278,1.20297,0.85765,1.51208,0.000181703,0.000181703,0.000181703
29,354.336,1.12607,0.87687,1.35312,0.93038,0.86538,0.9061,0.56775,1.20786,0.8585,1.52028,0.000126692,0.000126692,0.000126692
30,365.052,1.11866,0.84754,1.32837,0.93923,0.86538,0.9112,0.57367,1.20662,0.8539,1.5143,7.1681e-05,7.1681e-05,7.1681e-05
