epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7.00146,0,63.4448,0,0,0,0,0,0,38.3952,0,0,0,0,0,0,0,0,0
2,13.6352,0,63.4689,0,0,0,0,0,0,38.4197,0,4.83597e-05,1.61199e-05,4.83597e-05,1.61199e-05,4.83597e-05,1.61199e-05,4.83597e-05,1.61199e-05
3,20.2826,0,63.5517,0,0,0,0,0,0,38.4424,0,9.34187e-05,3.11396e-05,9.34187e-05,3.11396e-05,9.34187e-05,3.11396e-05,9.34187e-05,3.11396e-05
4,27.1758,0,63.285,0,0,0,0,0,0,38.4586,0,0.000135177,4.5059e-05,0.000135177,4.5059e-05,0.000135177,4.5059e-05,0.000135177,4.5059e-05
